gid	disp
Zm00001d006790	0
Zm00001d006794	0
Zm00001d006796	0
Zm00001d006797	0
Zm00001d006798	0
Zm00001d006808	0
Zm00001d006815	0
Zm00001d006821	0
Zm00001d006822	0
Zm00001d006823	0
Zm00001d006828	0
Zm00001d006834	0
Zm00001d006835	0
Zm00001d006837	0
Zm00001d006838	0
Zm00001d006844	0
Zm00001d006845	0
Zm00001d006853	0
Zm00001d006855	0
Zm00001d006856	0
Zm00001d006860	0
Zm00001d006861	0
Zm00001d006864	0
Zm00001d006866	0
Zm00001d006868	0
Zm00001d006871	0
Zm00001d006872	0
Zm00001d006880	0
Zm00001d006884	0
Zm00001d006889	0
Zm00001d006900	0
Zm00001d006903	0
Zm00001d006904	0
Zm00001d006906	0
Zm00001d006907	0
Zm00001d006910	0
Zm00001d006916	0
Zm00001d006917	0
Zm00001d006918	0
Zm00001d006922	0
Zm00001d006928	0
Zm00001d006929	0
Zm00001d006930	0
Zm00001d006931	0
Zm00001d006942	0
Zm00001d006945	0
Zm00001d006951	0
Zm00001d007009	0
Zm00001d007012	0
Zm00001d007029	0
Zm00001d007031	0
Zm00001d007032	0
Zm00001d007034	0
Zm00001d007035	0
Zm00001d007037	0
Zm00001d007038	0
Zm00001d007039	0
Zm00001d007042	0
Zm00001d007043	0
Zm00001d007044	0
Zm00001d007045	0
Zm00001d007048	0
Zm00001d007053	0
Zm00001d007058	0
Zm00001d007060	0
Zm00001d007064	0
Zm00001d007065	0
Zm00001d007067	0
Zm00001d007068	0
Zm00001d007070	0
Zm00001d007072	0
Zm00001d007075	0
Zm00001d007077	0
Zm00001d007080	0
Zm00001d007081	0
Zm00001d007084	0
Zm00001d007096	0
Zm00001d007107	0
Zm00001d007111	0
Zm00001d007113	0
Zm00001d007117	0
Zm00001d007118	0
Zm00001d007121	0
Zm00001d007130	0
Zm00001d007133	0
Zm00001d007135	0
Zm00001d007139	0
Zm00001d007141	0
Zm00001d007144	0
Zm00001d007145	0
Zm00001d007146	0
Zm00001d007151	0
Zm00001d007153	0
Zm00001d007154	0
Zm00001d007158	0
Zm00001d007167	0
Zm00001d007274	0
Zm00001d007331	0
Zm00001d007422	0
Zm00001d007434	0
Zm00001d007435	0
Zm00001d007436	0
Zm00001d007441	0
Zm00001d007442	0
Zm00001d007474	0
Zm00001d007479	0
Zm00001d007489	0
Zm00001d007490	0
Zm00001d007496	0
Zm00001d007500	0
Zm00001d007501	0
Zm00001d007502	0
Zm00001d007503	0
Zm00001d007508	0
Zm00001d007514	0
Zm00001d007522	0
Zm00001d007585	0
Zm00001d007594	0
Zm00001d007595	0
Zm00001d007599	0
Zm00001d007600	0
Zm00001d007610	0
Zm00001d007633	0
Zm00001d007639	0
Zm00001d007640	0
Zm00001d007645	0
Zm00001d007650	0
Zm00001d007661	0
Zm00001d007675	0
Zm00001d007687	0
Zm00001d007692	0
Zm00001d007698	0
Zm00001d007706	0
Zm00001d007709	0
Zm00001d007715	0
